codepoint,character,unicode_name,category,occurrence_count,resource_classes,is_han,is_ascii,is_kana,is_punctuation,is_symbol,selector_requirement
U+2019,’,RIGHT SINGLE QUOTATION MARK,Pf,148,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+201C,“,LEFT DOUBLE QUOTATION MARK,Pi,2018,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+201D,”,RIGHT DOUBLE QUOTATION MARK,Pf,2018,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+2026,…,HORIZONTAL ELLIPSIS,Po,20223,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+203B,※,REFERENCE MARK,Po,159,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+2103,℃,DEGREE CELSIUS,So,1,BRIEFING_NBE,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+2122,™,TRADE MARK SIGN,So,538,SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+2190,←,LEFTWARDS ARROW,Sm,16,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+2192,→,RIGHTWARDS ARROW,Sm,16,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+25A1,□,WHITE SQUARE,So,68,SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+25B3,△,WHITE UP-POINTING TRIANGLE,So,67,SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
